,Year_stats,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
320,1978,Al Skinner,SG,25,NJN,8,0,277,6.4,15.8,0.406,0,0,0,6.4,15.8,0.406,6.1,6.9,0.886,2.2,5.9,8.1,5.2,2,0.8,4.5,5.3,18.9,,96,100
321,1978,Al Skinner,SG,25,DET,69,0,1274,6.3,13.5,0.468,0,0,0,6.3,13.5,0.468,4.3,5.6,0.774,1.9,4.2,6,4,1.8,0.5,4.6,7.3,17,,95,103
322,1978,Bingo Smith,SG,31,CLE,82,0,1581,10.8,24.6,0.439,0,0,0,10.8,24.6,0.439,3.2,4,0.8,1.9,4.2,6.1,2.7,1.1,0.6,2.4,4.5,24.8,,98,102
323,1978,Elmore Smith,C,28,CLE,81,0,1996,9.3,18.8,0.497,0,0,0,9.3,18.8,0.497,4.8,7.2,0.663,4.1,11.6,15.8,1.3,1.2,4.1,3.3,5.6,23.4,,104,94
324,1978,Phil Smith,SG,25,GSW,82,0,2940,10,21.2,0.472,0,0,0,10,21.2,0.472,4.9,6,0.812,1.5,3.1,4.6,6.1,1.7,0.4,4.1,3.4,24.8,,101,102
325,1978,Randy Smith,SG,29,BUF,82,0,3314,11,23.6,0.465,0,0,0,11,23.6,0.465,6.1,7.7,0.8,1.5,2.8,4.3,6.4,2.4,0.2,4,3.1,28.1,,104,105
327,1978,Robert Smith,PG,22,DEN,45,0,378,5.9,11.4,0.515,0,0,0,5.9,11.4,0.515,2.5,2.8,0.875,0.7,3.5,4.2,4.6,2.1,0.4,2.3,6.1,14.2,,108,103
328,1978,Willie Smith,PG,24,IND,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,6.3,0,,200,110
329,1978,Dick Snyder,SG,33,CLE,58,0,660,7.9,17.7,0.444,0,0,0,7.9,17.7,0.444,3.9,4.5,0.875,0.6,2.8,3.4,3.9,1.6,1.3,3.4,5.2,19.7,,97,102
330,1978,Ricky Sobers,PG,25,IND,79,0,3019,8.1,17.9,0.453,0,0,0,8.1,17.9,0.453,4.9,5.9,0.825,1.4,3.5,4.8,8.6,2.5,0.3,5.2,4.5,21.1,,98,103
331,1978,Kevin Stacom,SG,26,BOS,55,0,1006,9.3,21.8,0.426,0,0,0,9.3,21.8,0.426,2.4,3.2,0.761,1.2,3.6,4.8,5,1.3,0.1,3.1,2.7,21,,94,104
332,1978,Larry Steele,SG,28,POR,65,0,1132,8.5,18.2,0.47,0,0,0,8.5,18.2,0.47,4.1,5,0.82,1.4,3.2,4.6,3.5,2.4,0.2,2.7,5.6,21.2,,104,99
333,1978,Earl Tatum,SG,24,TOT,82,0,2522,9,19.2,0.469,0,0,0,9,19.2,0.469,2.7,3.5,0.781,1.4,3.8,5.2,5.2,2.5,0.7,3.3,4.5,20.7,,100,102
334,1978,Earl Tatum,SG,24,LAL,25,0,663,10.4,21.4,0.487,0,0,0,10.4,21.4,0.487,3.1,4,0.763,1.6,4.6,6.1,4.8,2.5,0.7,3.6,5.8,24,,100,101
335,1978,Earl Tatum,SG,24,IND,57,0,1859,8.5,18.5,0.462,0,0,0,8.5,18.5,0.462,2.6,3.3,0.788,1.3,3.6,4.9,5.4,2.5,0.7,3.1,4.1,19.6,,100,102
336,1978,Brian Taylor,PG,26,DEN,39,0,1222,6.6,14.6,0.452,0,0,0,6.6,14.6,0.452,3.2,4.2,0.765,1.1,2.5,3.5,4.8,2.6,0.3,2.8,4.3,16.4,,100,103
337,1978,Claude Terry,SG,28,ATL,27,0,166,7,19,0.368,0,0,0,7,19,0.368,2.5,3.1,0.818,0.8,3.4,4.2,2,1.7,0,2.2,3.9,16.5,,85,103
338,1978,David Thompson*,SG,23,DEN,80,0,3025,12.1,23.2,0.521,0,0,0,12.1,23.2,0.521,7.6,9.8,0.778,2.3,3.4,5.7,5.3,1.3,1.4,3.6,3.1,31.8,,114,104
339,1978,Dean Tolson,PF,26,SEA,1,0,7,0,6.5,0,0,0,0,0,6.5,0,0,0,0,0,0,0,13.1,0,0,6.5,13.1,0,,41,106
340,1978,Rudy Tomjanovich,SF,29,HOU,23,0,849,12.1,24.9,0.485,0,0,0,12.1,24.9,0.485,3.4,4.5,0.753,2.2,5.5,7.7,1.8,0.8,0.3,2.1,3.5,27.6,,106,108
341,1978,Dave Twardzik,PG,27,POR,75,0,1820,6.1,10.4,0.592,0,0,0,6.1,10.4,0.592,4.6,5.9,0.782,0.9,2.5,3.4,6.2,2.7,0.1,4,4.7,16.9,,111,99
342,1978,Wes Unseld*,C,31,WSB,80,0,2644,4.3,8.2,0.523,0,0,0,4.3,8.2,0.523,1.6,2.9,0.538,4.8,11.2,16,5.5,1.6,0.8,2.9,3.9,10.2,,106,97
343,1978,Jan van Breda Kolff,SF,26,NJN,68,0,1419,3.3,8.9,0.366,0,0,0,3.3,8.9,0.366,2.7,3.8,0.707,2,5.4,7.4,3.2,1.6,1.4,2.2,5.9,9.2,,90,101
344,1978,Norm Van Lier,PG,30,CHI,78,0,2524,3.7,8.9,0.419,0,0,0,3.7,8.9,0.419,3.2,4.3,0.751,1.6,3.7,5.3,9.9,2.7,0.1,3.7,5.2,10.7,,100,103
345,1978,Foots Walker,PG,26,CLE,81,0,2496,5.3,11.9,0.448,0,0,0,5.3,11.9,0.448,3,4.1,0.719,1.4,4.1,5.5,8.4,3.3,0.4,3.4,4.1,13.6,,100,98
346,1978,Phil Walker,SG,21,WSB,40,0,384,6.6,18.6,0.354,0,0,0,6.6,18.6,0.354,7.4,11.1,0.667,2.4,3.6,6,6.2,1.6,0.6,7.2,4.5,20.6,,82,102
347,1978,Wally Walker,SF,23,TOT,77,0,1104,8.5,19.1,0.443,0,0,0,8.5,19.1,0.443,3.1,5,0.625,3.6,5.5,9.1,3.2,1.1,0.4,3.2,5.7,20.1,,98,100
348,1978,Wally Walker,SF,23,POR,9,0,101,8.7,18.7,0.463,0,0,0,8.7,18.7,0.463,2.3,3.7,0.625,3.2,4.6,7.8,3.7,0.9,0,5,5.9,19.6,,89,101
